id,post_id,likes,comments,shares,contains_emoji,does_not_contain_emoji,contains_hashtag,accounts_reached,followers_gained,hashtag_count,year,month,week,day,hour,caption_length,day_of_week,media_type_VIDEO,media_type_CAROUSEL,media_type_PHOTO,day_posted_monday,day_posted_tuesday,day_posted_wednesday,day_posted_thursday,day_posted_friday,day_posted_saturday,day_posted_sunday
4,17958455357517492,0.0233019049451606,0.014018691588785,0.0020531718873387,0,1,1,0.2126541840447244,0.0277777777777777,0.3333333333333333,2023,3,10,12,0,0.032,7,0,0,0,0,0,0,0,0,0,1
3,17942111696612242,0.0178179719068693,0.0,0.0013687812582258,0,1,1,0.0,0.0,0.3333333333333333,2023,3,10,12,21,0.1493333333333333,7,1,0,0,0,0,0,0,0,0,1
2,18007913161600141,0.0083317298441408,0.0,0.000157936299026,0,1,1,0.0,0.0,0.3333333333333333,2023,3,11,13,22,0.0746666666666666,1,1,0,0,1,0,0,0,0,0,0
1,17928975590557755,0.0135270348277852,0.0046728971962616,0.0045801526717557,0,1,1,0.2178897861389652,0.0,0.6666666666666666,2023,3,11,14,23,0.0933333333333333,2,0,0,0,0,1,0,0,0,0,0
25,17957282882300932,0.0199538195112564,0.0186915887850467,0.0008423269281389,0,1,1,0.2201260094063359,0.0277777777777777,0.3333333333333333,2023,3,11,15,20,0.0853333333333333,3,0,0,0,0,0,1,0,0,0,0
24,17883593438810189,0.0180488743505868,0.0186915887850467,0.0017899447222953,0,1,1,0.0,0.0,0.3333333333333333,2023,3,11,16,19,0.1226666666666666,4,1,0,0,0,0,0,1,0,0,0
23,18348758455027237,0.0289590148162401,0.0186915887850467,0.0041589892076862,0,1,1,0.2498535806193983,0.0277777777777777,0.3333333333333333,2023,3,11,18,1,0.1173333333333333,6,0,0,0,0,0,0,0,0,1,0
22,17904323513674320,0.0329613238406773,0.0,0.0033693077125559,0,1,1,0.2273671133197266,0.0,0.3333333333333333,2023,3,11,19,1,0.1333333333333333,7,0,0,0,0,0,0,0,0,0,1
21,18079564768341433,0.0112372522609197,0.0,0.001842590155304,0,1,1,0.0,0.0,0.6666666666666666,2023,3,11,19,23,0.088,7,1,0,0,0,0,0,0,0,0,1
20,18170882497278575,0.0071964594958629,0.0186915887850467,0.0005264543300868,0,1,1,0.0,0.0,0.3333333333333333,2023,3,12,20,23,0.0266666666666666,1,1,0,0,1,0,0,0,0,0,0
19,18167934202283467,0.0114104290937079,0.0,0.0014214266912345,0,1,1,0.1919779927234004,0.0,0.6666666666666666,2023,3,12,21,20,0.1653333333333333,2,0,0,0,0,1,0,0,0,0,0
18,18351213772012183,0.0045795651337309,0.0186915887850467,0.0020531718873387,1,0,1,0.180299937882687,0.1111111111111111,0.3333333333333333,2023,3,12,22,20,0.104,3,0,0,0,0,0,1,0,0,0,0
17,17911889483717327,0.0135847604387146,0.0514018691588785,0.00200052645433,0,1,1,0.0,0.0,0.3333333333333333,2023,3,12,22,21,0.1226666666666666,3,1,0,0,0,0,1,0,0,0,0
16,17961536867381952,0.0109101404656532,0.0093457943925233,0.0029481442484864,0,1,1,0.0,0.0,0.3333333333333333,2023,3,12,23,18,0.1013333333333333,4,1,0,0,0,0,0,1,0,0,0
15,18002429548647802,0.0027323455839907,0.0186915887850467,0.0005264543300868,1,0,1,0.1979235069660129,0.0,0.3333333333333333,2023,3,12,23,22,0.0959999999999999,4,0,0,0,0,0,0,1,0,0,0
14,17972296571480018,0.0278045025976524,0.116822429906542,0.0099499868386417,0,1,1,0.2826692696778773,0.3055555555555555,0.3333333333333333,2023,3,12,24,22,0.0453333333333333,5,0,0,0,0,0,0,0,1,0,0
13,17948696864412774,0.0195882239753704,0.02803738317757,0.0037378257436167,0,1,1,0.230437483361434,0.0,0.3333333333333333,2023,3,12,25,22,0.0826666666666666,6,0,0,0,0,0,0,0,0,1,0
12,17975756935997022,0.0020011545122185,0.0,0.0002105817320347,1,0,1,0.1610435708581063,0.0555555555555555,0.3333333333333333,2023,3,12,26,17,0.0986666666666666,7,0,0,0,0,0,0,0,0,0,1
11,18360975400058497,0.0183182605349239,0.0093457943925233,0.004527507238747,0,1,1,0.2040110036382997,0.0,0.6666666666666666,2023,3,12,26,22,0.128,7,0,0,0,0,0,0,0,0,0,1
