,id,post_id,likes,comments,shares,caption,contains_emoji,does_not_contain_emoji,contains_hashtag,Unnamed: 9,accounts_reached,timestamp,media_type,time_of_day,followers_gained,engagement_rate
368,19,17931628787762077,2308,8,71,"DDAYS WEEKEND RECAP, ⚠️there will be more posts today so send in your content to be featured ⚠️
#VivaLaYotes",True,False,True,,17593,2023-10-09T14:17:44+0000,CAROUSEL_ALBUM,afternoon,7,0.13567896322400955
369,20,17855781516016775,2071,1,145,yotes win. #VivaLaYotes,False,True,True,,14225,2023-10-07T22:00:38+0000,IMAGE,night,23,0.15585237258347978
370,21,17960294312511667,1675,4,27,"Don’t be like this guy.. ITS TIME TO FUCKING RAGE
#VivaLaYotes",False,True,True,,0,2023-10-07T14:36:55+0000,VIDEO,afternoon,0,inf
371,22,17864651022007445,1760,7,185,"YO who took Bonnie’s scooter ⁉️🤨
#VivaLaYotes",True,False,True,,0,2023-10-06T18:19:20+0000,VIDEO,night,0,inf
372,23,18002107148107238,1941,6,170,"The forbidden char dance floor drink 😳
#VivaLaYotes",True,False,True,,19057,2023-10-05T18:20:46+0000,CAROUSEL_ALBUM,night,4,0.11108778926378758
373,24,17992736267093416,1322,3,28,drown is going to be a war zone #VivaLaYotes,False,True,True,,12785,2023-10-04T23:07:42+0000,IMAGE,night,1,0.10582714118107157
374,25,17955838157534086,1219,4,69,bath water is crazy 😭😭 #VivaLaYotes #TinderTuesday,True,False,True,,15701,2023-10-03T20:52:10+0000,CAROUSEL_ALBUM,night,1,0.08228775237246035
375,1,17894299430827249,1567,0,31,"You scared for saturday? @barstoolmurray 
#VivaLaYotes",False,True,True,,14159,2023-10-02T20:57:17+0000,IMAGE,night,4,0.1128610777597288
376,2,18003013946086160,2402,7,154,"DDAYS is upon us folks…
#VivaLaYotes",False,True,True,,18379,2023-10-01T20:27:36+0000,CAROUSEL_ALBUM,night,3,0.13945263616083572
377,3,18014957992895080,2583,19,305,"HOLY FUCK I HAVENT BEEN THIS HAPPY SINCE CHRISTMAS OF 2007
#VivaLaYotes",False,True,True,,17447,2023-09-30T20:51:15+0000,IMAGE,night,34,0.16661890296326015
378,4,17878824059899901,934,3,55,@barstoolndsu,False,True,False,,11410,2023-09-30T20:30:58+0000,IMAGE,night,3,0.08694127957931638
379,5,18035586751566473,1025,14,37,"Oh god here we go again.. 
(Send in content of this man)
#VivaLaYotes",False,True,True,,0,2023-09-28T17:30:34+0000,VIDEO,night,0,inf
380,6,18100663435318171,1330,20,163,"Damn an L on homecoming sure is gonna suck. 
#VivaLaYotes #SkeeYee",False,True,True,,17308,2023-09-28T17:15:18+0000,IMAGE,night,7,0.08741622371157846
381,7,18025266328638251,1001,4,36,slow stroke king #VivaLaYotes,False,True,True,,0,2023-09-26T20:30:56+0000,VIDEO,night,0,inf
382,8,18001155584298957,1778,4,100,Matching with the alcohol prevention speaker is crazy 💀#VivaLaYotes,True,False,True,,16621,2023-09-26T00:58:14+0000,CAROUSEL_ALBUM,night,1,0.11323025088743156
383,9,17953096487551143,2446,16,269,"Vermillion is burning down this weekend
#VivaLaYotes",False,True,True,,18006,2023-09-22T17:25:26+0000,CAROUSEL_ALBUM,night,8,0.15167166500055537
384,10,17876985140907844,1257,9,113,"That seemed a little personal.. 
#VivaLaYotes",False,True,True,,0,2023-09-22T00:24:27+0000,VIDEO,night,0,inf
385,11,18015437236835039,1104,2,219,verm squirrels getting a little too comfortable🤨 #VivaLaYotes,False,True,True,,0,2023-09-20T17:35:15+0000,VIDEO,night,0,inf
386,12,17983458179426888,1097,1,85,"I don’t know how to spell gongeous either
#VivaLaYotes",False,True,True,,14559,2023-09-19T22:34:28+0000,CAROUSEL_ALBUM,night,1,0.08125558074043547
387,13,17872110800975142,1672,23,616,"Walmart brand Napoleon Dynamite 
#VivaLaYotes",False,True,True,,0,2023-09-19T17:17:59+0000,VIDEO,night,0,inf
388,14,17997980632981807,1638,10,150,"Fever dream last night
#VivaLaYotes",False,True,True,,16913,2023-09-17T16:20:37+0000,CAROUSEL_ALBUM,afternoon,7,0.10630875657778041
389,15,18001758824305065,1232,2,25,WAKE THE FUCK UP VERMILLION ITS GAMEDAY  #VivaLaYotes,False,True,True,,0,2023-09-16T15:25:10+0000,VIDEO,afternoon,0,inf
390,16,18059077471414666,797,2,114,"Protein
#VivaLaYotes",False,True,True,,0,2023-09-16T15:09:13+0000,VIDEO,afternoon,0,inf
391,17,18388181719034957,1253,13,15,"LETS GET FUCKING WEIRD THIS WEEKEND 
#VivaLaYotes",False,True,True,,15123,2023-09-15T18:50:32+0000,CAROUSEL_ALBUM,night,0,0.08470541559214441
392,18,18019727794704137,1616,3,66,"Your grammar might be atrocious but now everyone knows how girl boss you are ✨ Fuckin Steve man 😔😔😔😔😔
#VivaLaYotes",True,False,True,,14714,2023-09-14T18:33:35+0000,IMAGE,night,3,0.11451678673372298
393,19,17990398391092655,1598,1,77,@sdcoyotesmbb sign him immediately #VivaLaYotes,False,True,True,,0,2023-09-14T16:53:31+0000,VIDEO,afternoon,0,inf
394,20,18028331704610407,2072,3,1219,"Phil Mickelzyn would be proud
#VivaLaYotes",False,True,True,,0,2023-09-13T22:38:57+0000,VIDEO,night,0,inf
395,21,18063718648434458,1756,6,213,"Fuck homework in the library, we rockin with droppin watermelons there now ⁉️
#VivaLaYotes",True,False,True,,17609,2023-09-12T18:27:48+0000,CAROUSEL_ALBUM,night,5,0.11215855528422966
396,22,18097321702355564,1065,0,41,"Dear god none 
#VivaLaYotes",False,True,True,,12538,2023-09-11T16:34:16+0000,IMAGE,afternoon,0,0.08821183601850374
397,23,18027315661621435,655,0,12,get daddied @tommie_barstool 🤡😢 #VivaLaYotes,True,False,True,,11639,2023-09-09T21:47:59+0000,IMAGE,night,1,0.05730732880831686
398,24,17859393461981518,1625,3,60,"WAKE THE FUCK UP VERMILLION ITS TIME TO RAGE 
#VivaLaYotes",False,True,True,,15788,2023-09-09T15:27:33+0000,IMAGE,afternoon,8,0.106916645553585
399,25,18386614111055290,1452,3,99,WHAT THE FUCK IS A TOMMIE ‼️‼️ @tommie_barstool,True,False,False,,15742,2023-09-08T23:18:42+0000,CAROUSEL_ALBUM,night,36,0.09871680853766993
400,1,17909418515748309,925,4,14,"The dawgs were out at dominos ‼️‼️
#VivaLaYotes",True,False,True,,0,2023-09-07T20:40:42+0000,VIDEO,night,0,inf
401,2,17951826683548405,1153,8,25,who hurt the parking bozos 😭 #VivaLaYotes,True,False,True,,0,2023-09-06T21:47:20+0000,VIDEO,night,0,inf
